fenetre,reference,n,taux_panne,taux_alerte,rappel,precision,pr_auc,roc_auc,fn,tp
1,normale,8734,0.0519807648271124,0.348523013510419,0.7533039647577092,0.1123521681997371,0.2360388464339304,0.7912595235055013,112,342
2,normale,8734,0.0519807648271124,0.3261964735516373,0.737885462555066,0.1175851175851175,0.2287540839993017,0.792795787311924,119,335
2,haute,8734,0.0519807648271124,0.3261964735516373,0.737885462555066,0.1175851175851175,0.2287540839993017,0.792795787311924,119,335
janvier,haute,10999,0.05509591781071,0.3684880443676698,0.801980198019802,0.1199111769059955,0.2801471289484292,0.8159351511981757,120,486
janvier,normale,737,0.048846675712347354,0.3582089552238806,0.75,0.10227272727272728,0.17042502135925813,0.7816016801394833,9,27
